City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,lihue,21.9789,-159.3672,26.77,72,40,5.14,US,1720413144
252,san patricio,28.017,-97.5169,27.97,83,83,4.95,US,1720413145
253,berasia,23.6333,77.4333,27.45,64,100,0.98,IN,1720413147
254,amanganj,24.4333,80.0333,32.54,57,96,2.55,IN,1720413148
255,dudinka,69.4058,86.1778,18.15,43,8,10.2,RU,1720413149
256,lebu,-37.6167,-73.65,6.65,84,9,7.2,CL,1720413150
257,ulsteinvik,62.3432,5.8487,13.51,87,100,1.79,NO,1720413152
258,enewetak,11.3474,162.3373,28.44,80,100,7.42,MH,1720413153
259,stanley,54.868,-1.6985,6.55,94,52,1.8,GB,1720413154
260,tamandare,-8.7597,-35.1047,23.68,77,60,3.53,BR,1720413155
261,arvayheer,46.2639,102.775,25.99,22,100,1.24,MN,1720413157
262,castlebar,53.85,-9.3,9.07,93,61,1.01,IE,1720413158
263,howrah,22.5892,88.3103,32.0,70,40,3.6,IN,1720413159
264,punta del este,-34.9667,-54.95,6.6,69,75,5.81,UY,1720413160
265,valparaiso,-33.0393,-71.6273,9.52,81,0,1.54,CL,1720413163
266,maumere,-8.6199,122.2111,27.29,74,56,4.3,ID,1720413164
267,manokwari,-0.8667,134.0833,28.53,74,88,4.44,ID,1720413165
268,kongolo,-5.3833,27.0,20.84,40,7,0.5,CD,1720413167
269,new norfolk,-42.7826,147.0587,14.4,75,63,0.9,AU,1720413168
270,kuala belait,4.5833,114.1833,31.09,73,99,2.45,BN,1720413169
271,gadzhiyevo,69.2551,33.3362,16.46,72,9,10.25,RU,1720413170
272,kill devil hills,36.0307,-75.676,26.1,91,0,3.6,US,1720413172
273,ust'-kulom,61.6864,53.6902,22.7,62,13,3.21,RU,1720413173
274,jiwani,25.05,61.7417,29.33,81,80,5.4,PK,1720413174
275,johor bahru,1.4655,103.7578,31.1,74,75,2.57,MY,1720413175
276,port douglas,-16.4833,145.4667,24.11,78,77,4.86,AU,1720413060
277,tidjikja,18.5564,-11.4271,27.01,53,89,7.87,MR,1720413178
278,princeville,45.7668,-61.2985,19.36,98,100,1.54,CA,1720413179
279,bam,29.106,58.357,34.07,10,4,3.27,IR,1720413180
280,jeremoabo,-10.075,-38.4808,16.82,97,0,1.53,BR,1720413182
281,manicore,-5.8092,-61.3003,26.94,53,82,0.19,BR,1720413183
282,binhe,32.6883,112.8275,33.08,61,100,4.23,CN,1720413184
283,avarua,-21.2078,-159.775,22.03,83,100,3.09,CK,1720413185
284,menongue,-14.6585,17.691,6.76,26,0,0.44,AO,1720413187
285,sandnessjoen,66.0217,12.6316,12.29,87,75,1.03,NO,1720413188
286,tanggu,39.0211,117.6469,30.98,55,61,4.97,CN,1720413189
287,borskoye,53.0333,51.7167,22.73,57,10,5.53,RU,1720413192
288,kangding,30.0513,101.9603,19.7,92,100,0.77,CN,1720413193
289,nijar,36.9665,-2.206,20.92,78,0,0.51,ES,1720413194
290,pontes e lacerda,-15.2261,-59.3353,18.87,59,77,1.17,BR,1720413195
291,fisterra,42.9049,-9.2629,16.68,89,100,8.82,ES,1720413197
292,kimbe,-5.5502,150.1429,28.24,71,97,4.71,PG,1720413198
293,burang,30.25,81.1667,6.76,100,100,1.98,CN,1720413199
294,cururupu,-1.8283,-44.8683,21.89,100,8,0.44,BR,1720413200
295,tucurui,-3.7661,-49.6725,23.73,74,35,1.33,BR,1720413202
296,hanceville,34.0607,-86.7675,26.21,74,95,0.59,US,1720413203
297,munsan,37.8594,126.785,27.45,91,100,1.64,KR,1720413204
298,fyodorovka,53.6314,62.7078,22.66,64,8,3.66,KZ,1720413205
299,victorica,-36.2151,-65.4359,1.69,56,0,3.31,AR,1720413207
300,stung treng,13.5259,105.9683,31.14,65,100,1.55,KH,1720413208
301,freetown,8.484,-13.2299,24.16,92,100,4.36,SL,1720413209
302,usinsk,65.9939,57.5281,19.54,50,97,3.8,RU,1720413210
303,san ignacio rio muerto,27.4167,-110.2333,31.12,54,19,3.7,MX,1720413212
304,kani keli,-12.9536,45.1033,26.59,67,55,4.86,YT,1720413213
305,saint-pierre,-21.3393,55.4781,22.54,46,75,3.6,RE,1720413214
306,griffith,41.5284,-87.4237,21.96,88,40,2.57,US,1720413215
307,upper grand lagoon,30.1633,-85.7408,29.45,88,82,2.59,US,1720413217
308,lasem,-6.6922,111.4527,29.7,65,59,4.4,ID,1720413218
309,lutuhyne,48.4051,39.2267,27.85,56,7,3.16,UA,1720413219
310,kisanga,-7.4362,37.7034,20.63,74,76,1.18,TZ,1720413221
311,priargunsk,50.3691,119.1012,32.51,14,9,2.13,RU,1720413222
312,corinto,37.9407,22.9573,25.5,43,0,1.32,GR,1720413223
